symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
AEVO,SELL,LIMIT,IOC,5574.5,0.1180000,0.1199000,FILLED,5574.5,5574.5,1752833843548,657.7909999999999
C,SELL,LIMIT,IOC,4365,0.4633600,0.4676209,FILLED,116,4365,1752833848206,2022.5664
WIF,SELL,LIMIT,IOC,2134.8,1.0730000,1.0842000,FILLED,727.4,2134.8,1752833854582,2290.6404
C,BUY,LIMIT,IOC,1693,0.4801300,0.4740307,FILLED,496,1693,1752833861058,812.86009
C,BUY,LIMIT,IOC,128,0.4807300,0.4703079,FILLED,81,128,1752833863319,61.53344
XMR,SELL,LIMIT,IOC,4.404,329.53,332.65,FILLED,0.996,4.404,1752833863362,1451.25012
C,SELL,LIMIT,IOC,800,0.4601000,0.4637863,FILLED,28,800,1752833884607,368.08
ERA,BUY,LIMIT,IOC,13,1.4761000,1.4630000,FILLED,13,13,1752833885093,19.1893
ERA,BUY,LIMIT,IOC,91,1.4771000,1.4636000,FILLED,91,91,1752833886197,134.4161
C,SELL,LIMIT,IOC,136,0.4592800,0.4660300,FILLED,136,136,1752833886224,62.46208
1000SHIB,SELL,LIMIT,IOC,1042926,0.014837,0.014927,FILLED,158237,1042926,1752833893167,15473.893062
ERA,BUY,LIMIT,IOC,237,1.4788000,1.4645000,FILLED,237,237,1752833893213,350.4756
C,SELL,LIMIT,IOC,830,0.4572100,0.4635494,FILLED,80,830,1752833894441,379.4843
XRP,SELL,LIMIT,IOC,180.3,3.4105,3.4275,FILLED,180.3,180.3,1752833896250,614.91315
1000SHIB,SELL,LIMIT,IOC,1948,0.014833,0.014927,FILLED,1948,1948,1752833896567,28.894684
XRPUSDC,SELL,LIMIT,IOC,1256.7,3.4125,3.4292,FILLED,750.4,1256.7,1752833896700,4288.48875
TAC,BUY,LIMIT,IOC,449461,0.0190300,0.0189140,FILLED,9174,449461,1752833897572,8553.24283
C,SELL,LIMIT,IOC,4404,0.4570000,0.4623675,FILLED,409,4404,1752833898455,2012.6280000000002
TAC,BUY,LIMIT,IOC,5046,0.0190700,0.0189700,FILLED,4410,5046,1752833899056,96.22722
XRP,SELL,LIMIT,IOC,107.8,3.4095,3.4241,FILLED,107.8,107.8,1752833899184,367.5441
C,SELL,LIMIT,IOC,58,0.4557300,0.4622200,FILLED,58,58,1752833899513,26.43234
HAEDAL,SELL,LIMIT,IOC,118,0.2060530,0.2090220,FILLED,118,118,1752833900279,24.314254
BERA,SELL,LIMIT,IOC,2.2,2.323000,2.346000,FILLED,2.2,2.2,1752833900377,5.110600000000001
SUI,SELL,LIMIT,IOC,4921.2,3.995900,4.036000,FILLED,4530.2,4921.2,1752833900672,19664.623079999998
XRP,SELL,LIMIT,IOC,1.8,3.4070,3.4239,FILLED,1.8,1.8,1752833900918,6.1326
IO,SELL,LIMIT,IOC,2333.1,0.8404000,0.8491675,FILLED,216.1,2333.1,1752833901124,1960.73724
C,SELL,LIMIT,IOC,2786,0.4552900,0.4610699,FILLED,456,2786,1752833901491,1268.43794
HAEDAL,SELL,LIMIT,IOC,165,0.2060010,0.2090850,FILLED,146,165,1752833901510,33.990165
C,SELL,LIMIT,IOC,341,0.4549500,0.4608152,FILLED,170,341,1752833902572,155.13795000000002
C,SELL,LIMIT,IOC,831,0.4543000,0.4607900,FILLED,831,831,1752833903586,377.5233
1000SHIB,SELL,LIMIT,IOC,21008,0.014821,0.014919,FILLED,21008,21008,1752833904165,311.359568
ICNT,BUY,LIMIT,IOC,288,0.2643000,0.2609000,FILLED,288,288,1752833909400,76.1184
XRP,SELL,LIMIT,IOC,6948.0,3.4066,3.4230,FILLED,764.2,6948.0,1752833912064,23669.056800000002
ETH,SELL,LIMIT,IOC,0.016,3597.75,3611.00,FILLED,0.016,0.016,1752833912093,57.564
TAC,BUY,LIMIT,IOC,42574,0.0191900,0.0190063,FILLED,27166,42574,1752833912459,816.99506
SOL,SELL,LIMIT,IOC,64.55,178.1100,178.9300,FILLED,45.66,64.55,1752833912520,11497.0005
XRP,SELL,LIMIT,IOC,2625.6,3.4061,3.4216,FILLED,833.5,2625.6,1752833913441,8943.05616
TAC,BUY,LIMIT,IOC,64710,0.0192400,0.0190115,FILLED,223,64710,1752833913512,1245.0204
SOL,SELL,LIMIT,IOC,4.72,178.1000,178.9000,FILLED,4.72,4.72,1752833913556,840.632
FARTCOIN,SELL,LIMIT,IOC,3250.8,1.4374000,1.4505940,FILLED,658.4,3250.8,1752833913729,4672.69992
1000SHIB,SELL,LIMIT,IOC,112435,0.014820,0.014902,FILLED,8397,112435,1752833913771,1666.2866999999999
1000PEPE,SELL,LIMIT,IOC,1215,0.0135010,0.0135851,FILLED,1215,1215,1752833914051,16.403715000000002
DOGE,SELL,LIMIT,IOC,1873,0.237130,0.238590,FILLED,1873,1873,1752833914131,444.14449
ETH,SELL,LIMIT,IOC,4.494,3596.56,3609.97,FILLED,4.494,4.494,1752833914146,16162.940639999999
TRUMP,SELL,LIMIT,IOC,22.02,10.245000,10.345000,FILLED,22.02,22.02,1752833914197,225.59489999999997
WIF,SELL,LIMIT,IOC,9199.1,1.0725000,1.0826452,FILLED,617.9,9199.1,1752833914230,9866.03475
1INCH,SELL,LIMIT,IOC,1323,0.3294,0.3326,FILLED,1258,1323,1752833914258,435.79620000000006
MOODENG,SELL,LIMIT,IOC,99,0.1983500,0.2002327,FILLED,72,99,1752833914326,19.63665
BTC,SELL,LIMIT,IOC,0.001,118201.40,118642.40,FILLED,0.001,0.001,1752833914477,118.20139999999999
AAVE,SELL,LIMIT,IOC,0.1,322.880,326.020,FILLED,0.1,0.1,1752833914477,32.288000000000004
XRP,SELL,LIMIT,IOC,6.0,3.4055,3.4214,FILLED,6.0,6.0,1752833914477,20.433
ADA,SELL,LIMIT,IOC,26,0.84300,0.84720,FILLED,26,26,1752833914477,21.918
TRX,SELL,LIMIT,IOC,58,0.32661,0.32867,FILLED,58,58,1752833914477,18.94338
BNB,SELL,LIMIT,IOC,0.03,733.020,736.510,FILLED,0.03,0.03,1752833914477,21.990599999999997
SOL,SELL,LIMIT,IOC,13.18,178.0300,178.8900,FILLED,13.18,13.18,1752833914591,2346.4354
WIFUSDC,SELL,LIMIT,IOC,9.3,1.0676000,1.0838000,FILLED,9.3,9.3,1752833914676,9.928680000000002
TRUMP,SELL,LIMIT,IOC,50.00,10.243000,10.342080,FILLED,32.50,50.00,1752833915213,512.15
GALA,SELL,LIMIT,IOC,25000,0.01950,0.01969,FILLED,25000,25000,1752833915213,487.5
HBAR,SELL,LIMIT,IOC,1000,0.26778,0.27043,FILLED,517,1000,1752833915213,267.78000000000003
SUI,SELL,LIMIT,IOC,300.0,3.993600,4.033300,FILLED,98.0,300.0,1752833915213,1198.08
ETHFI,SELL,LIMIT,IOC,456.4,1.3172000,1.3280008,FILLED,422.5,456.4,1752833915231,601.17008
1000PEPEUSDC,SELL,LIMIT,IOC,62234,0.0133935,0.0135801,FILLED,50302,62234,1752833915254,833.531079
